ＥＤＩＮＥＴコード,提出者名,提出者業種,提出者法人番号
E00011,住友林業株式会社,建設業,4010001090011
E00021,三菱マテリアル株式会社,非鉄金属,6010001023786
E00023,住友金属鉱山株式会社,非鉄金属,9010401015273
E00024,三井金属株式会社,非鉄金属,7010701011370
E00026,日本精鉱株式会社,非鉄金属,2011101016386
E00027,中外鉱業株式会社,非鉄金属,7010001008720
E00028,ＤＯＷＡホールディングス株式会社,非鉄金属,1010001008750
E00032,古河機械金属株式会社,非鉄金属,7010001008803
E00034,太平洋興発株式会社,卸売業,8010501031238
E00035,株式会社ニッチツ,機械,4010401054508
E00037,三井松島ホールディングス株式会社,その他製品,5290001010634
E00048,大和ハウス工業株式会社,建設業,6120001059662
E00052,大成建設株式会社,建設業,4011101011880
E00053,清水建設株式会社,建設業,1010401013565
E00055,株式会社大林組,建設業,7010401088742
E00056,株式会社　熊谷組,建設業,1210001001082
E00058,鹿島建設株式会社,建設業,8010401006744
E00059,日本国土開発株式会社,建設業,3010401022812
E00060,西松建設株式会社,建設業,8010401021454
E00064,松井建設株式会社,建設業,7010001034956
E00065,鉄建建設株式会社,建設業,2010001008709
E00066,東亜道路工業株式会社,建設業,7010401020201
E00069,株式会社錢高組,建設業,5120001049004
E00073,株式会社中電工,建設業,9240001006971
E00074,株式会社関電工,建設業,9010401006818
E00075,株式会社きんでん,建設業,1120001063033
E00076,株式会社トーエネック,建設業,8180001038758
E00079,徳倉建設株式会社,建設業,5180001038835
E00080,東亜建設工業株式会社,建設業,3011101055078
E00081,若築建設株式会社,建設業,6290801012011
E00083,株式会社奥村組,建設業,7120001004931
E00086,五洋建設株式会社,建設業,1010001000006
E00090,株式会社　長谷工コーポレーション,建設業,7010401024061
E00092,株式会社東京エネシス,建設業,6010401020680
E00093,大末建設株式会社,建設業,5120001083408
E00094,エクシオグループ株式会社,建設業,3011001031955
E00095,大豊建設株式会社,建設業,3010001034869
E00097,株式会社不動テトラ,建設業,4010001141053
E00098,ライト工業株式会社,建設業,7010001008811
E00101,サンユー建設株式会社,建設業,9010801004850
E00105,株式会社ナカノフドー建設,建設業,4010001008731
E00107,三機工業株式会社,建設業,2010001008683
E00109,三晃金属工業株式会社,建設業,9010401038472
E00112,東鉄工業株式会社,建設業,6011101014147
E00113,太平電業株式会社,建設業,4010001008748
E00115,日本電設工業株式会社,建設業,6010501016240
E00117,株式会社イチケン,建設業,7010501028268
E00118,南海辰村建設株式会社,建設業,3120001039386
E00119,中外炉工業株式会社,建設業,2120001049015
E00120,株式会社淺沼組,建設業,8120001022651
E00121,佐田建設株式会社,建設業,9070001001420
E00130,株式会社　森組,建設業,4120001077567
E00133,金下建設株式会社,建設業,8130001040495
E00137,株式会社ユアテック,建設業,4370001006286
E00138,株式会社ヤマト,建設業,5070001001977
E00142,日特建設株式会社,建設業,7010001053304
E00143,積水ハウス株式会社,建設業,8120001059652
E00146,株式会社クラフティア,建設業,6290001001120
E00147,戸田建設株式会社,建設業,6010001034874
E00148,矢作建設工業株式会社,建設業,6180001018506
E00149,高砂熱学工業株式会社,建設業,3010001008749
E00153,株式会社朝日工業社,建設業,5010401000023
E00157,都築電気株式会社,卸売業,9010401054908
E00161,明星工業株式会社,建設業,1120001049032
E00165,株式会社ＲＩＳＥ,不動産業,8010001128641
